"HawkerCentre","Address","lon","lat"
"Blk 44 Holland Drive","Blk 44, Holland Drive, S(270044)",103.7927381,1.3081723
"Blk 448 Clementi Ave 3","Blk 448, Clementi Ave 3, S(120448)",103.76449,1.3133068
"Blk 453A Ang Mo Kio Ave 10","Blk 453A, Ang Mo Kio Ave 10, S(561453)",103.8565177,1.3681603
"Blk 49 Sims Place","Blk 49, Sims Place, S(380049)",103.8793293,1.3170535
"Blk 4A Eunos Crescent","Blk 4A, Eunos Crescent, S(402004)",103.903711,1.320065
"Blk 4A Jalan Batu","Blk 4A, Jalan Batu, S(432004)",103.883923,1.302428
"Blk 4A Woodlands Centre Road","Blk 4A, Woodlands Centre Road, S(731004)",103.7701029,1.441109
"Blk 502 West  Coast Drive","Blk 502, West Coast Drive, S(120502)",103.759131,1.311936
"Blk 503 West Coast Drive","Blk 503, West Coast Drive, S(120503)",103.7597825,1.3118695
"Blk 505 Jurong West Street 52","Blk 505, Jurong West Street 52, S(640505)",103.7185122,1.3497487
"Blk 50A Marine Terrace","Blk 50A, Marine Terrace, S(441050)",103.9156908,1.3056956
"Blk 51 Old Airport Road","Blk 51, Old Airport Road, S(390051)",103.8858505,1.308232
"Blk 511 Bedok North Street 3","Blk 511, Bedok North Street 3, S(460511)",103.9303677,1.3331595
"Blk 527 Ang Mo Kio Ave 10","Blk 527, Ang Mo Kio Ave 10, S(560527)",103.8543059,1.3727609
"Blk 538 Bedok North Street 3","Blk 538, Bedok North Street 3, S(460538)",103.924861,1.331798
"Blk 58 New Upper Changi Road","Blk 58, New Upper Changi Road, S(461058)",103.9411354,1.3241682
"Blk 6 Tanjong Pagar Plaza","Blk 6, Tanjong Pagar Plaza, S(081006)",103.8430867,1.2765144
"Blk 628 Ang Mo Kio Ave 4","Blk 628, Ang Mo Kio Ave 4, S(560628)",103.8407372,1.380976
"Blk 630 Bedok Reservoir Road","Blk 630, Bedok Reservoir Road, S(470630)",103.9126456,1.3324784
"Blk 69 Geylang Bahru","Blk 69, Geylang Bahru, S(330069)",103.8700885,1.3214913
"Blk 7 Empress Road","Blk 7, Empress Road, S(260007)",103.8057946,1.3164558
"Blk 724 Ang Mo Kio Ave 6","Blk 724, Ang Mo Kio Ave 6, S(560724)",103.846562,1.372185
"Blk 726 Clementi West Street 2","Blk 726, Clementi West Street 2, S(120726)",103.7642661,1.3037847
"Blk 74 Toa Payoh Lorong 4","Blk 74, Lorong 4 Toa Payoh, S(310074)",103.8519727,1.3344784
"Blk 75 Toa Payoh Lorong 5","Blk 75, Lorong 5 Toa Payoh, S(310075)",103.8530114,1.3359699
"Blk 79 Redhill Lane","Blk 79, Redhill Lane, S(150079)",103.8182751,1.2878415
"Blk 79 Telok Blangah Drive","Blk 79, Telok Blangah Drive, S(100079)",103.807598,1.273301
"Blk 80 Circuit Road","Blk 80, Circuit Road, S(370080)",103.887077,1.3278701
"Blk 82 Telok Blangah Drive","Blk 82, Telok Blangah Drive, S(100082)",103.807777,1.273787
"Blk 84 Marine Parade Central","Blk 84, Marine Parade Central, S(440084)",103.906415,1.3021262
"Blk 85 Bedok North Street 4","Blk 85, Bedok North Street 4, S(460085)",103.9389051,1.3317701
"Blk 85 Redhill Lane","Blk 85, Redhill Lane, S(150085)",103.8182751,1.2874028
"Blk 89 Circuit Road","Blk 89, Circuit Road, S(370089)",103.8853684,1.3236522
"Blk 90 Whampoa Drive","Blk 90, Whampoa Drive, S(320090)",103.8550044,1.3230772
"Blk 93 Toa Payoh Lorong 4","Blk 93, Lorong 4 Toa Payoh, S(310093)",103.8496348,1.3385059
"Blks 13/14 Haig Road","Blk 13/14, Haig Road, S(430013/430014)",103.8954366,1.3151463
"Blks 160/162 Ang Mo Kio Ave 4","Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",103.838842,1.37426
"Blks 1A/ 2A/ 3A Commonwealth Drive","Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",103.7977741,1.2994684
"Blks 2 & 3 Changi Village Road","Blk 2/3, Changi Village Road, S(500002/500003)",103.9880772,1.389646
"Blks 20/21 Marsiling Lane","Blk 20/21, Marsiling Lane, S(730020/730021)",103.7770039,1.4439625
"Blks 221 A/B Boon Lay Place","Blk 221A/B, Boon Lay Place, S(641221/642221)",103.7124483,1.3461938
"Blks 22A/B Havelock Road","Blk 22A/B, Havelock Road, S(161022/162022)",103.8292837,1.2877391
"Blks 79/79A Circuit Road","Blk 79/79A, Circuit Road, S(370079/371079)",103.88493,1.3256079
"Blks 91/92 Whampoa Drive","Blk 91/92, Whampoa Drive, S(320091/320092)",103.8538791,1.3231083
"Chinatown Market","Blk 335, Smith Street, S(050335)",103.8430923,1.2825863
"Chong Pang Market & Food Centre","Blk 104/105, Yishun Ring Road, S(760104/760105)",103.8280566,1.4317981
"Hong Lim Market & Food Centre","Blk 531A, Upper Cross Street, S(051531)",103.8458369,1.2853166
"Kovan Market & Food Centre","Blk 209, Hougang Street 21, S(530209)",103.886095,1.359092
"Pek Kio Market & Food Centre","Blk 41A, Cambridge Road, S(211041)",103.849928,1.316263
"People's Park Food Centre","Blk 32, New Market Road, S(050032)",103.8425488,1.2850751
"Tekka Market","Blk 665, Buffalo Road, S(210665)",103.8507014,1.3063839
