"HawkerCentre","Address","lon","lat"
"Blk 127 Toa Payoh Lorong 1","Blk 127, Lorong 1 Toa Payoh, S(310127)",103.8447232,1.338036
"Blk 137 Tampines Street 11","Blk 137, Tampines Street 11, S(521137)",103.94471,1.345531
"Blk 159 Mei Chin Road","Blk 159, Mei Chin Road, S(140159)",103.8028827,1.2932672
"Blk 16 Bedok South Road","Blk 16, Bedok South Road, S(460016)",103.9355558,1.3205476
"Blk 163 Bukit Merah Central","Blk 163, Bukit Merah Central, S(150163)",103.8170072,1.2837537
"Blk 17 Upper Boon Keng Road","Blk 17, Upper Boon Keng Road, S(380017)",103.871846,1.314918
"Blk 20 Ghim Moh Road","Blk 20, Ghim Moh Road, S(270020)",103.7883085,1.3109708
"Blk 208B New Upper Changi Road","Blk 208B, New Upper Changi Road, S(462208)",103.93068,1.324569
"Blk 210 Toa Payoh Lorong 8","Blk 210, Lorong 8 Toa Payoh, S(310210)",103.854348,1.3402503
"Blk 216 Bedok North Street 1","Blk 216, Bedok North Street 1, S(460216)",103.9333799,1.3275219
"Blk 22 Toa Payoh Lorong 7","Blk 22, Lorong 7 Toa Payoh, S(310022)",103.857027,1.335231
"Blk 226D Ang Mo Kio Ave 1","Blk 226D, Ang Mo Kio Ave 1, S(564226)",103.839176,1.366795
"Blk 226H Ang Mo Kio Street 22","Blk 226H, Ang Mo Kio Street 22, S(568226)",103.8400579,1.3672414
"Blk 254 Jurong East Street 24","Blk 254, Jurong East Street 24, S(600254)",103.7376889,1.3436236
"Blk 29 Bendemeer Road","Blk 29, Bendemeer Road, S(330029)",103.863322,1.319142
"Blk 320 Shunfu Road","Blk 320, Shunfu Road, S(570320)",103.8373039,1.3518942
"Blk 341 Ang Mo Kio Ave 1","Blk 341, Ang Mo Kio Ave 1, S(560341)",103.8483462,1.3642258
"Blk 347 Jurong East Ave 1","Blk 347, Jurong East Ave 1, S(600347)",103.7315889,1.3454614
"Blk 353 Clementi Ave 2","Blk 353, Clementi Ave 2, S(120353)",103.770821,1.314399
"Blk 36 Telok Blangah Rise","Blk 36, Telok Blangah Rise, S(090036)",103.821985,1.272617
"Blk 37A Teban Gardens Road","Blk 37A, Teban Garden Road, S(601037)",103.742765,1.32087
"Blk 409 Ang Mo Kio Ave 10","Blk 409, Ang Mo Kio Ave 10, S(560409)",103.8554121,1.3627194
