"Mall","lon","lat"
"Buangkok Square, Singapore",103.8819713,1.3843723
"The Midtown, Singapore",103.8951731,1.3704674
"Upper Serangoon Shopping Centre, Singapore",103.8786621,1.3539953
"Beauty World Centre, Singapore",103.7762593,1.3423741
"Beauty World Plaza, Singapore",103.7761747,1.3418536
"Bukit Panjang Plaza, Singapore",103.7642332,1.3800428
"Bukit Timah Plaza, Singapore",103.7786483,1.3387211
"Fajar Shopping Centre, Singapore",103.7706551,1.3838735
"Greenridge Shopping Centre, Singapore",103.7664398,1.3852314
"Hillion Mall, Singapore",103.7630439,1.3779581
"HillV2, Singapore",103.7643181,1.3633062
"Junction 10, Singapore",103.7606506,1.3798647
"Limbang Shopping Centre, Singapore",103.7433504,1.3920102
"Lot One, Singapore",103.7449224,1.385122
"Rail Mall, Singapore",103.7679617,1.3582148
"Sunshine Place, Singapore",103.7391755,1.3779729
"Teck Whye Shopping Centre, Singapore",103.7524357,1.3800721
"West Mall, Singapore",103.7491716,1.3500335
"Yew Tee Point, Singapore",103.7467281,1.397123
"Yew Tee Shopping Centre, Singapore",103.7467281,1.397123
"Yew Tee Square, Singapore",103.7469444,1.3980556
"Keat Hong Shopping Centre, Singapore",103.74506,1.385175
"KKH The Retail Mall, Singapore",103.8467669,1.310638
"VivoCity, Singapore",103.8222071,1.2644032
"HarbourFront Centre, Singapore",103.8202661,1.2644517
"Alexandra Retail Centre, Singapore",103.8016048,1.2737935
"321 Clementi, Singapore",103.765014,1.311998
"The Clementi Mall, Singapore",103.7640448,1.3146962
"IMM, Singapore",103.7468395,1.3348154
"JCube, Singapore",103.740343,1.333138
"Jem, Singapore",103.7430188,1.3328981
"Westgate Mall, Singapore",103.742798,1.334533
"Jurong Point, Singapore",103.7067297,1.3397443
"Pioneer Mall, Singapore",103.6974182,1.3421413
"The Star Vista, Singapore",103.7883907,1.3067999
"Tiong Bahru Plaza, Singapore",103.8271464,1.2864878
"Alexandra Central, Singapore",103.8050545,1.2873346
"Anchorpoint, Singapore",103.8050762,1.2887706
"OD Mall, Singapore",103.7934014,1.3380312
"Boon Lay Shopping Centre, Singapore",103.7124483,1.3461938
"Grantral Mall, Singapore",103.7651327,1.3142926
"Fairprice Hub, Singapore",103.678719,1.3271898
"Gek Poh Shopping Centre, Singapore",103.6976313,1.3488852
"Rochester Mall, Singapore",103.788206,1.3056024
"Taman Jurong Shopping Centre, Singapore",103.7208215,1.3347767
"West Coast Plaza, Singapore",103.7658637,1.3037295
"Queensway Shopping Centre, Singapore",103.8036027,1.2877846
