"School","Type","lon","lat"
"Mee Toh School, Singapore","PRIMARY","103.9089333","1.3947729"
"Meridian Primary School, Singapore","PRIMARY","103.9350488","1.376032"
"Methodist Girls' School (Primary), Singapore","PRIMARY","103.7831944","1.3330778"
"Montfort Junior School, Singapore","PRIMARY","103.889614","1.373864"
"Nan Chiau Primary School, Singapore","PRIMARY","103.8903328","1.3923982"
"Nan Hua Primary School, Singapore","PRIMARY","103.7615069","1.319611"
"Nanyang Primary School, Singapore","PRIMARY","103.8077117","1.3210855"
"Naval Base Primary School, Singapore","PRIMARY","103.8390841","1.4161125"
"New Town Primary School, Singapore","PRIMARY","103.7998822","1.2999119"
"Ngee Ann Primary School, Singapore","PRIMARY","103.9180054","1.3056219"
"North Spring Primary School, Singapore","PRIMARY","103.9036093","1.3868822"
"North View Primary School, Singapore","PRIMARY","103.848313","1.427616"
"North Vista Primary School, Singapore","PRIMARY","103.8958131","1.3829142"
"Northland Primary School, Singapore","PRIMARY","103.840576","1.421155"
"Northoaks Primary School, Singapore","PRIMARY","103.813826","1.456638"
"Oasis Primary School, Singapore","PRIMARY","103.9109669","1.4047715"
"Opera Estate Primary School, Singapore","PRIMARY","103.9235753","1.3193914"
"Palm View Primary School, Singapore","PRIMARY","103.8907953","1.3839074"
"Park View Primary School, Singapore","PRIMARY","103.9395361","1.3775806"
"Pasir Ris Primary School, Singapore","PRIMARY","103.9629666","1.372403"
"Paya Lebar Methodist Girls' School (Primary), Singapore","PRIMARY","103.8852195","1.3504619"
"Pei Chun Public School, Singapore","PRIMARY","103.8558037","1.3371187"
"Pei Hwa Presbyterian Primary School, Singapore","PRIMARY","103.77613","1.338081"
"Pei Tong Primary School, Singapore","PRIMARY","103.7675906","1.3161197"
"Peiying Primary School, Singapore","PRIMARY","103.8302678","1.4175241"
"Pioneer Primary School, Singapore","PRIMARY","103.6955802","1.3486615"
"Poi Ching School, Singapore","PRIMARY","103.9352454","1.3577836"
"Princess Elizabeth Primary School, Singapore","PRIMARY","103.7409454","1.349245"
"Punggol Cove Primary School, Singapore","PRIMARY","103.89861","1.4116904"
"Punggol Green Primary School, Singapore","PRIMARY","103.8988531","1.4018544"
"Punggol Primary School, Singapore","PRIMARY","103.8945968","1.3774346"
"Punggol View Primary School, Singapore","PRIMARY","103.9051799","1.4052956"
"Qifa Primary School, Singapore","PRIMARY","103.756921","1.3128256"
"Qihua Primary School, Singapore","PRIMARY","103.788557","1.442105"
"Queenstown Primary School, Singapore","PRIMARY","103.8079624","1.2962213"
