"School","Type","lon","lat"
"Ngee Ann Secondary School, Singapore","SECONDARY","103.9568201","1.3542893"
"North Vista Secondary School, Singapore","SECONDARY","103.8990751","1.38121"
"Northbrooks Secondary School, Singapore","SECONDARY","103.8451567","1.4210901"
"Northland Secondary School, Singapore","SECONDARY","103.8401937","1.4358326"
"Northlight School, Singapore","SECONDARY","103.8556591","1.3199646"
"Nus High School Of Mathematics And Science, Singapore","SECONDARY","103.7693914","1.3071072"
"Orchid Park Secondary School, Singapore","SECONDARY","103.8380899","1.4156038"
"Outram Secondary School, Singapore","SECONDARY","103.837091","1.286507"
"Pasir Ris Crest Secondary School, Singapore","SECONDARY","103.9594764","1.3728674"
"Pasir Ris Secondary School, Singapore","SECONDARY","103.948533","1.354757"
"Paya Lebar Methodist Girls' School (Secondary), Singapore","SECONDARY","103.8848129","1.3510298"
"Pei Hwa Secondary School, Singapore","SECONDARY","103.8787278","1.3907528"
"Peicai Secondary School, Singapore","SECONDARY","103.8705579","1.3586499"
"Peirce Secondary School, Singapore","SECONDARY","103.8298585","1.3663664"
"Ping Yi Secondary School, Singapore","SECONDARY","103.9203587","1.3277161"
"Presbyterian High School, Singapore","SECONDARY","103.8431","1.382254"
"Punggol Secondary School, Singapore","SECONDARY","103.9091383","1.4026867"
"Queenstown Secondary School, Singapore","SECONDARY","103.8131968","1.2937571"
"Queensway Secondary School, Singapore","SECONDARY","103.8019743","1.3005119"
"Raffles Girls' School (Secondary), Singapore","SECONDARY","103.8062274","1.3300317"
"Raffles Institution, Singapore","SECONDARY","103.8434229","1.3466753"
"Regent Secondary School, Singapore","SECONDARY","103.7510018","1.3936053"
"River Valley High School, Singapore","SECONDARY","103.709695","1.3431764"
"Riverside Secondary School, Singapore","SECONDARY","103.788591","1.4404834"
"School Of Science And Technology, Singapore, Singapore","SECONDARY","103.7740056","1.3137564"
"School Of The Arts, Singapore, Singapore","SECONDARY","103.8486967","1.2993871"
"Sembawang Secondary School, Singapore","SECONDARY","103.8168532","1.4454666"
"Seng Kang Secondary School, Singapore","SECONDARY","103.897892","1.386517"
"Serangoon Garden Secondary School, Singapore","SECONDARY","103.8694133","1.3698804"
"Serangoon Secondary School, Singapore","SECONDARY","103.9022635","1.3748927"
"Singapore Chinese Girls' School, Singapore","SECONDARY","103.828876","1.3212977"
"Singapore Sports School, Singapore","SECONDARY","103.789056","1.426703"
"Spectra Secondary School, Singapore","SECONDARY","103.8043789","1.4364557"
"Springfield Secondary School, Singapore","SECONDARY","103.9300788","1.3498342"
"St. Andrew's Secondary School, Singapore","SECONDARY","103.8657366","1.3305904"
"St. Anthony's Canossian Secondary School, Singapore","SECONDARY","103.9419966","1.3343266"
"St. Gabriel's Secondary School, Singapore","SECONDARY","103.8757857","1.3470106"
"St. Hilda's Secondary School, Singapore","SECONDARY","103.936745","1.3503799"
"St. Joseph's Institution, Singapore","SECONDARY","103.828591","1.322914"
"St. Margaret's Secondary School, Singapore","SECONDARY","103.809466","1.320091"
"St. Patrick's School, Singapore","SECONDARY","103.9168373","1.3085522"
"Swiss Cottage Secondary School, Singapore","SECONDARY","103.7506408","1.3646741"
"Tampines Secondary School, Singapore","SECONDARY","103.9445009","1.3493258"
"Tanglin Secondary School, Singapore","SECONDARY","103.7581468","1.3097054"
"Tanjong Katong Girls' School, Singapore","SECONDARY","103.895897","1.308631"
"Tanjong Katong Secondary School, Singapore","SECONDARY","103.897576","1.3083201"
"Teck Whye Secondary School, Singapore","SECONDARY","103.7551671","1.3831667"
"Temasek Junior College, Singapore","SECONDARY","103.9355346","1.3186051"
"Temasek Secondary School, Singapore","SECONDARY","103.9472248","1.3160282"
"Unity Secondary School, Singapore","SECONDARY","103.7459346","1.3994982"
"Victoria School, Singapore","SECONDARY","103.9274992","1.3085536"
"West Spring Secondary School, Singapore","SECONDARY","103.760045","1.3879136"
"Westwood Secondary School, Singapore","SECONDARY","103.7017948","1.3537847"
"Whitley Secondary School, Singapore","SECONDARY","103.8429934","1.3555371"
"Woodgrove Secondary School, Singapore","SECONDARY","103.7968274","1.4289721"
"Woodlands Ring Secondary School, Singapore","SECONDARY","103.8007288","1.4364147"
"Woodlands Secondary School, Singapore","SECONDARY","103.7744937","1.4391854"
"Xinmin Secondary School, Singapore","SECONDARY","103.8828692","1.3720807"
"Yio Chu Kang Secondary School, Singapore","SECONDARY","103.8419271","1.3783368"
"Yishun Secondary School, Singapore","SECONDARY","103.828833","1.428129"
"Yishun Town Secondary School, Singapore","SECONDARY","103.8381007","1.4327266"
"Yuan Ching Secondary School, Singapore","SECONDARY","103.720994","1.341917"
"Yuhua Secondary School, Singapore","SECONDARY","103.7224050","1.3470260"
"Yusof Ishak Secondary School, Singapore","SECONDARY","103.760309","1.342423"
"Yuying Secondary School, Singapore","SECONDARY","103.8900604","1.356753"
"Zhenghua Secondary School, Singapore","SECONDARY","103.764939","1.388271"
"Zhonghua Secondary School, Singapore","SECONDARY","103.8693356","1.3496094"
